,build_year,lat,lng,total_building,total_house,wy_fee
2001,0,106.527189,29.581037,1,396,0.0
2002,2010,106.516214,29.578442,21,570,0.0
2003,2009,106.527189,29.581037,17,1144,0.8
2004,0,106.527324,29.593026,2,1223,0.0
2005,2012,106.506063,29.57726,87,1009,2.8
2006,2005,106.549642,29.587637,5,1822,0.0
2007,2009,106.527189,29.581037,2,1980,0.0
2008,0,106.543372,29.566124,1,180,1.2
2009,0,106.527189,29.581037,2,378,0.0
2010,2006,106.543372,29.566124,2,1600,1.2
2011,2006,106.543372,29.566124,2,1600,1.2
2012,2009,106.527189,29.581037,2,1980,0.0
2013,2009,106.527189,29.581037,5,1902,1.8
2014,2007,106.548901,29.577621,6,1654,0.0
2015,2010,106.516214,29.578442,21,570,0.0
2016,0,0,0,2,384,0.0
2017,0,106.543372,29.566124,1,180,1.2
2018,2011,106.548901,29.577621,12,3248,1.8
2019,2006,106.54233,29.564769,7,1127,1.2
2020,2006,106.54233,29.564769,7,1127,1.2
2021,2009,106.527189,29.581037,17,1144,0.8
2022,2014,106.516214,29.578442,6,1272,1.8
2023,2009,106.527189,29.581037,5,1902,1.8
2024,0,0,0,6,652,0.0
2025,2006,106.54233,29.564769,7,1127,1.2
2026,2009,106.527189,29.581037,5,1902,1.8
2027,0,106.527189,29.581037,1,396,0.0
2028,2010,106.516214,29.578442,21,570,0.0
2029,2009,106.527189,29.581037,17,1144,0.8
2030,0,106.527324,29.593026,2,1223,0.0
2031,2012,106.506063,29.57726,87,1009,2.8
2032,2005,106.549642,29.587637,5,1822,0.0
2033,2009,106.527189,29.581037,2,1980,0.0
2034,0,106.543372,29.566124,1,180,1.2
2035,0,106.527189,29.581037,2,378,0.0
2036,2006,106.543372,29.566124,2,1600,1.2
2037,2006,106.543372,29.566124,2,1600,1.2
2038,2009,106.527189,29.581037,2,1980,0.0
2039,2009,106.527189,29.581037,5,1902,1.8
2040,2007,106.548901,29.577621,6,1654,0.0
2041,2010,106.516214,29.578442,21,570,0.0
2042,0,0,0,2,384,0.0
2043,0,106.543372,29.566124,1,180,1.2
2044,2011,106.548901,29.577621,12,3248,1.8
2045,2006,106.54233,29.564769,7,1127,1.2
